Gene	Sample	Value
CIRBP	NKI_56	-0.02
ERBB3	NKI_56	0.041
CHCHD5	NKI_56	0.004
LOC124220	NKI_56	-0.24
TMCC2	NKI_56	0.348
DACH1	NKI_56	0.333
HMGCL	NKI_56	-0.076
NCOA7	NKI_56	0.095
FSCN1	NKI_56	-0.068
KCNN4	NKI_56	0.18
CPEB2	NKI_56	0.292
CYP2B6	NKI_56	-0.332
AKR7A3	NKI_56	-0.348
FLJ20273	NKI_56	-0.06
JMJD2B	NKI_56	-0.19
CDK2AP1	NKI_56	-0.031
HEXIM1	NKI_56	-0.099
SH2D2A	NKI_56	0.176
IFNAR2	NKI_56	0.069
ASNS	NKI_56	-0.118
MLZE	NKI_56	-0.139
SKP1A	NKI_56	-0.082
MYO5C	NKI_56	-0.11
APOBEC3B	NKI_56	0.05
LRBA	NKI_56	0.113
UBXD3	NKI_56	-0.105
DSC2	NKI_56	-0.047
TEGT	NKI_56	0.045
EML4	NKI_56	0.122
KARCA1	NKI_56	-0.031
GATA3	NKI_57	-0.652
CA12	NKI_57	-1.064
THSD4	NKI_57	-1.299
AFF3	NKI_57	-1.197
TBC1D9	NKI_57	-0.992
FOXA1	NKI_57	-1.949
GREB1	NKI_57	-1.313
DNALI1	NKI_57	-1.232
VGLL1	NKI_57	0.194
PRR15	NKI_57	-1.573
SLC7A2	NKI_57	-1.212
XBP1	NKI_57	-0.992
SCUBE2	NKI_57	-1.29
MYB	NKI_57	-0.895
B3GNT5	NKI_57	0.823
CELSR1	NKI_57	-0.914
NAT1	NKI_57	-0.901
MAGED2	NKI_57	-0.6
VAV3	NKI_57	-0.568
FBP1	NKI_57	-0.392
BCL11A	NKI_57	0.434
SOD2	NKI_57	0.455
AGR2	NKI_57	-1.381
ERBB4	NKI_57	-1.031
TNFRSF21	NKI_57	-0.154
PHGDH	NKI_57	0.114
TFF3	NKI_57	-1.537
STS-1	NKI_57	0.165
TCEAL1	NKI_57	-0.324
GABRP	NKI_57	0.989
FLJ21127	NKI_57	-0.476
BCL2	NKI_57	-0.312
MOAP1	NKI_57	-0.306
ACOT4	NKI_57	-0.51
YBX1	NKI_57	0.041
SOD2	NKI_57	0.369
MREG	NKI_57	-0.475
CDH3	NKI_57	-0.144
C10orf38	NKI_57	0.455
RARRES1	NKI_57	0.326
ABTB2	NKI_57	-0.097
RERG	NKI_57	-0.328
ST8SIA1	NKI_57	0.236
SIRPA	NKI_57	0.178
MICALL1	NKI_57	0.002
CDCA7	NKI_57	0.652
ERBB4	NKI_57	-2
QSCN6L1	NKI_57	0.296
CYP2B6	NKI_57	-1.473
CIRBP	NKI_57	-0.361
ERBB3	NKI_57	-0.736
CHCHD5	NKI_57	-0.255
LOC124220	NKI_57	-1.121
TMCC2	NKI_57	0.032
DACH1	NKI_57	-0.733
HMGCL	NKI_57	-0.159
NCOA7	NKI_57	0.155
FSCN1	NKI_57	-0.108
KCNN4	NKI_57	-0.141
CPEB2	NKI_57	-0.634
CYP2B6	NKI_57	-1.193
AKR7A3	NKI_57	-0.764
FLJ20273	NKI_57	-0.387
JMJD2B	NKI_57	-0.343
CDK2AP1	NKI_57	0.067
HEXIM1	NKI_57	-0.319
SH2D2A	NKI_57	0.594
IFNAR2	NKI_57	0.142
ASNS	NKI_57	0.406
MLZE	NKI_57	0.062
SKP1A	NKI_57	-0.236
MYO5C	NKI_57	-0.513
APOBEC3B	NKI_57	0.189
LRBA	NKI_57	-0.546
UBXD3	NKI_57	-0.788
DSC2	NKI_57	0.46
TEGT	NKI_57	-0.239
EML4	NKI_57	0.191
KARCA1	NKI_57	-0.092
GATA3	NKI_58	0.226
CA12	NKI_58	0.22
THSD4	NKI_58	0.481
AFF3	NKI_58	0.069
TBC1D9	NKI_58	0.13
FOXA1	NKI_58	0.029
GREB1	NKI_58	0.705
DNALI1	NKI_58	-0.026
VGLL1	NKI_58	-0.384
PRR15	NKI_58	-0.42
SLC7A2	NKI_58	-0.162
XBP1	NKI_58	-0.13
SCUBE2	NKI_58	-0.248
MYB	NKI_58	0.095
B3GNT5	NKI_58	-0.163
CELSR1	NKI_58	0.125
NAT1	NKI_58	-0.218
MAGED2	NKI_58	-0.14
VAV3	NKI_58	-0.232
FBP1	NKI_58	0.226
BCL11A	NKI_58	-0.557
SOD2	NKI_58	-0.428
AGR2	NKI_58	0.02
ERBB4	NKI_58	0.23
TNFRSF21	NKI_58	-0.418
PHGDH	NKI_58	-0.25
TFF3	NKI_58	-0.459
STS-1	NKI_58	-0.267
TCEAL1	NKI_58	0.001
GABRP	NKI_58	-0.503
FLJ21127	NKI_58	-0.126
BCL2	NKI_58	0.08
MOAP1	NKI_58	0.193
ACOT4	NKI_58	0.336
YBX1	NKI_58	-0.193
SOD2	NKI_58	-0.467
MREG	NKI_58	0.181
CDH3	NKI_58	-0.82
C10orf38	NKI_58	-0.211
RARRES1	NKI_58	-0.358
ABTB2	NKI_58	-0.138
RERG	NKI_58	0.496
ST8SIA1	NKI_58	-0.207
SIRPA	NKI_58	-0.327
MICALL1	NKI_58	0.076
CDCA7	NKI_58	0.206
ERBB4	NKI_58	0.449
QSCN6L1	NKI_58	-0.041
CYP2B6	NKI_58	-0.37
CIRBP	NKI_58	-0.03
ERBB3	NKI_58	0.365
CHCHD5	NKI_58	0.279
LOC124220	NKI_58	0.049
TMCC2	NKI_58	-0.249
DACH1	NKI_58	0.354
HMGCL	NKI_58	-0.155
NCOA7	NKI_58	-0.431
FSCN1	NKI_58	-0.097
KCNN4	NKI_58	-0.579
CPEB2	NKI_58	-0.028
CYP2B6	NKI_58	-0.361
AKR7A3	NKI_58	-0.95
FLJ20273	NKI_58	0.143
JMJD2B	NKI_58	0.2
CDK2AP1	NKI_58	-0.054
HEXIM1	NKI_58	0.156
SH2D2A	NKI_58	-0.511
IFNAR2	NKI_58	-0.06
ASNS	NKI_58	-0.02
MLZE	NKI_58	-0.113
SKP1A	NKI_58	0.121
MYO5C	NKI_58	0.094
APOBEC3B	NKI_58	-0.25
LRBA	NKI_58	0.238
UBXD3	NKI_58	0.228
DSC2	NKI_58	-0.312
TEGT	NKI_58	0.13
EML4	NKI_58	0.043
KARCA1	NKI_58	-0.047
GATA3	NKI_59	-0.015
CA12	NKI_59	0.47
THSD4	NKI_59	0.343
AFF3	NKI_59	-0.149
TBC1D9	NKI_59	0.157
FOXA1	NKI_59	0.009
GREB1	NKI_59	0.131
DNALI1	NKI_59	0.17
VGLL1	NKI_59	-0.393
PRR15	NKI_59	-0.365
SLC7A2	NKI_59	0.234
XBP1	NKI_59	-0.327
SCUBE2	NKI_59	0.783
MYB	NKI_59	0.105
B3GNT5	NKI_59	-0.192
CELSR1	NKI_59	0.301
NAT1	NKI_59	0.182
MAGED2	NKI_59	0.267
VAV3	NKI_59	-0.157
FBP1	NKI_59	0.276
BCL11A	NKI_59	-0.523
SOD2	NKI_59	-0.122
AGR2	NKI_59	-0.408
ERBB4	NKI_59	-0.629
TNFRSF21	NKI_59	-0.044
PHGDH	NKI_59	-0.134
TFF3	NKI_59	-0.077
STS-1	NKI_59	0.044
TCEAL1	NKI_59	-0.149
GABRP	NKI_59	-0.593
FLJ21127	NKI_59	0.246
BCL2	NKI_59	0.169
MOAP1	NKI_59	-0.031
ACOT4	NKI_59	0.029
YBX1	NKI_59	-0.191
SOD2	NKI_59	-0.044
MREG	NKI_59	-0.21
CDH3	NKI_59	-0.43
C10orf38	NKI_59	-0.237
RARRES1	NKI_59	-0.371
ABTB2	NKI_59	0.196
RERG	NKI_59	0.456
ST8SIA1	NKI_59	-0.278
SIRPA	NKI_59	0.031
MICALL1	NKI_59	-0.127
CDCA7	NKI_59	-0.524
ERBB4	NKI_59	-0.579
QSCN6L1	NKI_59	0.263
CYP2B6	NKI_59	0.032
CIRBP	NKI_59	-0.155
ERBB3	NKI_59	-0.039
CHCHD5	NKI_59	0.127
LOC124220	NKI_59	-0.222
TMCC2	NKI_59	0.049
DACH1	NKI_59	-0.127
HMGCL	NKI_59	-0.087
NCOA7	NKI_59	-0.302
FSCN1	NKI_59	0.012
KCNN4	NKI_59	-0.212
CPEB2	NKI_59	0.258
CYP2B6	NKI_59	0.028
AKR7A3	NKI_59	-0.833
FLJ20273	NKI_59	-0.102
JMJD2B	NKI_59	-0.023
CDK2AP1	NKI_59	0.006
HEXIM1	NKI_59	-0.104
SH2D2A	NKI_59	-0.394
IFNAR2	NKI_59	-0.098
ASNS	NKI_59	0.15
MLZE	NKI_59	-0.042
SKP1A	NKI_59	0.143
MYO5C	NKI_59	-0.344
APOBEC3B	NKI_59	-0.524
LRBA	NKI_59	0.084
UBXD3	NKI_59	-0.231
DSC2	NKI_59	0.062
TEGT	NKI_59	0.045
EML4	NKI_59	-0.137
KARCA1	NKI_59	0.11
GATA3	NKI_60	-0.019
CA12	NKI_60	-0.08
THSD4	NKI_60	0.052
AFF3	NKI_60	0.209
TBC1D9	NKI_60	-0.148
FOXA1	NKI_60	0.154
GREB1	NKI_60	-0.016
DNALI1	NKI_60	0.343
VGLL1	NKI_60	-0.401
PRR15	NKI_60	0.347
SLC7A2	NKI_60	-0.164
XBP1	NKI_60	0.115
SCUBE2	NKI_60	0.359
MYB	NKI_60	-0.049
B3GNT5	NKI_60	-0.229
CELSR1	NKI_60	0.135
NAT1	NKI_60	-0.347
MAGED2	NKI_60	0.167
VAV3	NKI_60	0.135
FBP1	NKI_60	-0.405
BCL11A	NKI_60	-0.401
SOD2	NKI_60	-0.365
AGR2	NKI_60	0.036
ERBB4	NKI_60	0.288
TNFRSF21	NKI_60	0.152
PHGDH	NKI_60	-0.01
TFF3	NKI_60	0.37
STS-1	NKI_60	-0.139
TCEAL1	NKI_60	-0.126
GABRP	NKI_60	-0.533
FLJ21127	NKI_60	0.018
BCL2	NKI_60	-0.539
MOAP1	NKI_60	0.149
ACOT4	NKI_60	0.033
YBX1	NKI_60	-0.12
SOD2	NKI_60	-0.365
MREG	NKI_60	0.145
CDH3	NKI_60	0.002
C10orf38	NKI_60	-0.321
RARRES1	NKI_60	-0.038
ABTB2	NKI_60	0.043
RERG	NKI_60	-0.229
ST8SIA1	NKI_60	-0.496
SIRPA	NKI_60	-0.184
MICALL1	NKI_60	-0.129
CDCA7	NKI_60	0.033
ERBB4	NKI_60	0.364
QSCN6L1	NKI_60	-0.225
CYP2B6	NKI_60	0.3
CIRBP	NKI_60	0.095
ERBB3	NKI_60	0.103
CHCHD5	NKI_60	-0.036
LOC124220	NKI_60	0.07
TMCC2	NKI_60	-0.133
DACH1	NKI_60	0.37
HMGCL	NKI_60	-0.108
NCOA7	NKI_60	-0.034
FSCN1	NKI_60	-0.159
KCNN4	NKI_60	-0.15
CPEB2	NKI_60	0.141
CYP2B6	NKI_60	0.271
AKR7A3	NKI_60	-0.577
FLJ20273	NKI_60	-0.017
JMJD2B	NKI_60	-0.005
CDK2AP1	NKI_60	0.014
HEXIM1	NKI_60	-0.064
SH2D2A	NKI_60	-0.381
IFNAR2	NKI_60	-0.209
ASNS	NKI_60	-0.201
MLZE	NKI_60	0.097
SKP1A	NKI_60	0.03
MYO5C	NKI_60	0.207
APOBEC3B	NKI_60	-0.22
LRBA	NKI_60	0.082
UBXD3	NKI_60	-0.222
DSC2	NKI_60	-0.052
TEGT	NKI_60	-0.029
EML4	NKI_60	-0.097
KARCA1	NKI_60	-0.018
GATA3	NKI_61	-0.19
CA12	NKI_61	0.23
THSD4	NKI_61	0.157
AFF3	NKI_61	-0.655
TBC1D9	NKI_61	0.13
FOXA1	NKI_61	0.152
GREB1	NKI_61	-0.147
DNALI1	NKI_61	0.01
VGLL1	NKI_61	-0.559
PRR15	NKI_61	0.02
SLC7A2	NKI_61	0.47
XBP1	NKI_61	0.03
SCUBE2	NKI_61	-0.33
MYB	NKI_61	0.229
B3GNT5	NKI_61	-0.26
CELSR1	NKI_61	0.185
NAT1	NKI_61	0.327
MAGED2	NKI_61	0.05
VAV3	NKI_61	0.062
FBP1	NKI_61	0.13
BCL11A	NKI_61	-0.748
SOD2	NKI_61	0.08
AGR2	NKI_61	-0.343
ERBB4	NKI_61	0.399
TNFRSF21	NKI_61	-0.309
PHGDH	NKI_61	-0.386
TFF3	NKI_61	-0.469
STS-1	NKI_61	0.009
TCEAL1	NKI_61	0.13
GABRP	NKI_61	-0.729
FLJ21127	NKI_61	0.177
BCL2	NKI_61	0.127
MOAP1	NKI_61	0.085
ACOT4	NKI_61	0.138
YBX1	NKI_61	-0.209
SOD2	NKI_61	0.1
MREG	NKI_61	0.225
CDH3	NKI_61	-0.557
C10orf38	NKI_61	0.074
RARRES1	NKI_61	-0.162
ABTB2	NKI_61	-0.146
RERG	NKI_61	-0.429
ST8SIA1	NKI_61	-0.036
SIRPA	NKI_61	-0.06
MICALL1	NKI_61	-0.109
CDCA7	NKI_61	-0.07
ERBB4	NKI_61	0.202
QSCN6L1	NKI_61	0.048
CYP2B6	NKI_61	0.442
CIRBP	NKI_61	-0.145
ERBB3	NKI_61	-0.037
CHCHD5	NKI_61	-0.028
LOC124220	NKI_61	0.166
TMCC2	NKI_61	-0.238
DACH1	NKI_61	-0.083
HMGCL	NKI_61	0.151
NCOA7	NKI_61	-0.168
FSCN1	NKI_61	-0.132
KCNN4	NKI_61	0.037
CPEB2	NKI_61	0.04
CYP2B6	NKI_61	0.428
AKR7A3	NKI_61	-0.897
FLJ20273	NKI_61	0.155
JMJD2B	NKI_61	-0.067
CDK2AP1	NKI_61	-0.217
HEXIM1	NKI_61	0.244
SH2D2A	NKI_61	-0.064
IFNAR2	NKI_61	-0.012
ASNS	NKI_61	-0.109
MLZE	NKI_61	0.097
SKP1A	NKI_61	0.074
MYO5C	NKI_61	0.347
APOBEC3B	NKI_61	-0.392
LRBA	NKI_61	-0.079
UBXD3	NKI_61	-0.073
DSC2	NKI_61	-0.361
TEGT	NKI_61	-0.021
EML4	NKI_61	-0.142
KARCA1	NKI_61	0.462
GATA3	NKI_62	-0.155
CA12	NKI_62	-0.513
THSD4	NKI_62	-0.644
AFF3	NKI_62	0.173
TBC1D9	NKI_62	-0.525
FOXA1	NKI_62	0.173
GREB1	NKI_62	0.119
DNALI1	NKI_62	-0.81
VGLL1	NKI_62	-0.408
PRR15	NKI_62	0.411
SLC7A2	NKI_62	-0.49
XBP1	NKI_62	-0.139
SCUBE2	NKI_62	-0.886
MYB	NKI_62	0.096
B3GNT5	NKI_62	0.013
CELSR1	NKI_62	-0.216
NAT1	NKI_62	0.225
MAGED2	NKI_62	-0.202
VAV3	NKI_62	0.32
FBP1	NKI_62	-0.165
BCL11A	NKI_62	-0.336
SOD2	NKI_62	-0.395
AGR2	NKI_62	0.395
ERBB4	NKI_62	-0.586
TNFRSF21	NKI_62	-0.091
PHGDH	NKI_62	-0.239
TFF3	NKI_62	0.542
STS-1	NKI_62	0.004
TCEAL1	NKI_62	-0.203
GABRP	NKI_62	-0.334
FLJ21127	NKI_62	-0.103
BCL2	NKI_62	-0.573
MOAP1	NKI_62	-0.133
ACOT4	NKI_62	-0.203
YBX1	NKI_62	-0.059
SOD2	NKI_62	-0.42
MREG	NKI_62	0.145
CDH3	NKI_62	-0.217
C10orf38	NKI_62	-0.101
RARRES1	NKI_62	-0.32
ABTB2	NKI_62	-0.036
RERG	NKI_62	-0.557
ST8SIA1	NKI_62	-0.36
SIRPA	NKI_62	0.017
MICALL1	NKI_62	-0.201
CDCA7	NKI_62	-0.08
ERBB4	NKI_62	-0.767
QSCN6L1	NKI_62	-0.025
CYP2B6	NKI_62	-0.661
CIRBP	NKI_62	-0.042
ERBB3	NKI_62	-0.06
CHCHD5	NKI_62	0.093
LOC124220	NKI_62	-0.35
TMCC2	NKI_62	-0.126
DACH1	NKI_62	0.243
HMGCL	NKI_62	-0.198
NCOA7	NKI_62	-0.197
FSCN1	NKI_62	-0.04
KCNN4	NKI_62	0.088
CPEB2	NKI_62	0.012
CYP2B6	NKI_62	-0.646
AKR7A3	NKI_62	-0.311
FLJ20273	NKI_62	0.016
JMJD2B	NKI_62	0.007
CDK2AP1	NKI_62	-0.03
HEXIM1	NKI_62	-0.149
SH2D2A	NKI_62	-0.337
IFNAR2	NKI_62	-0.113
ASNS	NKI_62	0.126
MLZE	NKI_62	-0.039
SKP1A	NKI_62	0.189
MYO5C	NKI_62	-0.208
APOBEC3B	NKI_62	-0.005
LRBA	NKI_62	0.05
UBXD3	NKI_62	-0.226
DSC2	NKI_62	-0.346
TEGT	NKI_62	0.181
EML4	NKI_62	0.064
KARCA1	NKI_62	0.199
GATA3	NKI_69	0
CA12	NKI_69	0.244
THSD4	NKI_69	-0.159
AFF3	NKI_69	0.083
TBC1D9	NKI_69	0.003
FOXA1	NKI_69	-0.007
GREB1	NKI_69	0.182
DNALI1	NKI_69	0.128
VGLL1	NKI_69	-0.372
PRR15	NKI_69	0.033
SLC7A2	NKI_69	-0.591
XBP1	NKI_69	-0.391
SCUBE2	NKI_69	-0.535
MYB	NKI_69	-0.118
B3GNT5	NKI_69	-0.091
CELSR1	NKI_69	-0.232
NAT1	NKI_69	-0.438
MAGED2	NKI_69	-0.026
VAV3	NKI_69	-0.146
FBP1	NKI_69	-0.24
BCL11A	NKI_69	-0.575
SOD2	NKI_69	-0.134
AGR2	NKI_69	0.359
ERBB4	NKI_69	-0.731
TNFRSF21	NKI_69	-0.194
PHGDH	NKI_69	-0.366
TFF3	NKI_69	0.497
STS-1	NKI_69	-0.138
TCEAL1	NKI_69	-0.076
GABRP	NKI_69	-0.449
FLJ21127	NKI_69	-0.004
BCL2	NKI_69	-0.252
MOAP1	NKI_69	-0.011
ACOT4	NKI_69	0.113
YBX1	NKI_69	0.023
SOD2	NKI_69	-0.048
MREG	NKI_69	0.144
CDH3	NKI_69	-0.4
C10orf38	NKI_69	-0.16
RARRES1	NKI_69	-0.327
ABTB2	NKI_69	-0.007
RERG	NKI_69	-0.053
ST8SIA1	NKI_69	-0.144
SIRPA	NKI_69	-0.109
MICALL1	NKI_69	-0.289
CDCA7	NKI_69	-0.213
ERBB4	NKI_69	-0.455
QSCN6L1	NKI_69	-0.05
CYP2B6	NKI_69	-0.205
CIRBP	NKI_69	0.032
ERBB3	NKI_69	-0.289
CHCHD5	NKI_69	0.019
LOC124220	NKI_69	-0.39
TMCC2	NKI_69	-0.157
DACH1	NKI_69	0.347
HMGCL	NKI_69	-0.245
NCOA7	NKI_69	-0.166
FSCN1	NKI_69	0.037
KCNN4	NKI_69	-0.104
CPEB2	NKI_69	-0.094
CYP2B6	NKI_69	-0.236
AKR7A3	NKI_69	-0.21
FLJ20273	NKI_69	-0.022
JMJD2B	NKI_69	0.059
CDK2AP1	NKI_69	-0.066
HEXIM1	NKI_69	-0.12
SH2D2A	NKI_69	-0.238
IFNAR2	NKI_69	-0.1
ASNS	NKI_69	0.051
MLZE	NKI_69	-0.123
SKP1A	NKI_69	0.045
MYO5C	NKI_69	0.042
APOBEC3B	NKI_69	-0.387
LRBA	NKI_69	-0.034
UBXD3	NKI_69	-0.357
DSC2	NKI_69	0.122
TEGT	NKI_69	-0.047
EML4	NKI_69	-0.062
KARCA1	NKI_69	-0.339
GATA3	NKI_70	-0.021
CA12	NKI_70	0.084
THSD4	NKI_70	0.031
AFF3	NKI_70	0.035
TBC1D9	NKI_70	-0.033
FOXA1	NKI_70	0.18
GREB1	NKI_70	0.313
DNALI1	NKI_70	0.232
VGLL1	NKI_70	-0.519
PRR15	NKI_70	-0.334
SLC7A2	NKI_70	-0.063
XBP1	NKI_70	0.237
SCUBE2	NKI_70	-0.253
MYB	NKI_70	0.461
B3GNT5	NKI_70	-0.139
CELSR1	NKI_70	0.208
NAT1	NKI_70	0.081
MAGED2	NKI_70	-0.168
VAV3	NKI_70	0.19
FBP1	NKI_70	-0.199
BCL11A	NKI_70	-0.089
SOD2	NKI_70	-0.267
AGR2	NKI_70	-0.302
ERBB4	NKI_70	0.135
TNFRSF21	NKI_70	-0.262
PHGDH	NKI_70	-0.011
TFF3	NKI_70	0.19
STS-1	NKI_70	-0.051
TCEAL1	NKI_70	-0.122
GABRP	NKI_70	-0.526
FLJ21127	NKI_70	0.071
BCL2	NKI_70	0.177
MOAP1	NKI_70	0.032
ACOT4	NKI_70	0.039
YBX1	NKI_70	-0.092
SOD2	NKI_70	-0.25
MREG	NKI_70	0.283
CDH3	NKI_70	0.114
C10orf38	NKI_70	-0.113
RARRES1	NKI_70	-0.115
ABTB2	NKI_70	-0.112
RERG	NKI_70	0.054
ST8SIA1	NKI_70	-0.048
SIRPA	NKI_70	-0.16
MICALL1	NKI_70	0
CDCA7	NKI_70	0.435
ERBB4	NKI_70	0.288
QSCN6L1	NKI_70	0.075
CYP2B6	NKI_70	-0.083
CIRBP	NKI_70	-0.094
ERBB3	NKI_70	0.199
CHCHD5	NKI_70	0.107
LOC124220	NKI_70	0.062
TMCC2	NKI_70	-0.117
DACH1	NKI_70	0.311
HMGCL	NKI_70	0.096
NCOA7	NKI_70	-0.016
FSCN1	NKI_70	-0.146
KCNN4	NKI_70	0.111
CPEB2	NKI_70	0.037
CYP2B6	NKI_70	-0.095
AKR7A3	NKI_70	-0.087
FLJ20273	NKI_70	0.07
JMJD2B	NKI_70	0.036
CDK2AP1	NKI_70	-0.163
HEXIM1	NKI_70	0.209
SH2D2A	NKI_70	-0.347
IFNAR2	NKI_70	-0.002
ASNS	NKI_70	-0.188
MLZE	NKI_70	-0.085
SKP1A	NKI_70	-0.09
MYO5C	NKI_70	0.23
APOBEC3B	NKI_70	-0.309
LRBA	NKI_70	0.08
UBXD3	NKI_70	0.34
DSC2	NKI_70	-0.347
TEGT	NKI_70	-0.028
EML4	NKI_70	-0.079
KARCA1	NKI_70	0.079
GATA3	NKI_71	-0.67
CA12	NKI_71	-0.666
THSD4	NKI_71	-0.524
AFF3	NKI_71	-0.681
TBC1D9	NKI_71	-0.717
FOXA1	NKI_71	-0.921
GREB1	NKI_71	-0.536
DNALI1	NKI_71	-0.564
VGLL1	NKI_71	0.973
PRR15	NKI_71	-1.068
SLC7A2	NKI_71	-0.674
XBP1	NKI_71	-0.713
SCUBE2	NKI_71	-0.806
MYB	NKI_71	-0.771
B3GNT5	NKI_71	0.718
CELSR1	NKI_71	-0.838
NAT1	NKI_71	-0.713
MAGED2	NKI_71	-0.581
VAV3	NKI_71	-0.688
FBP1	NKI_71	-0.533
BCL11A	NKI_71	0.369
SOD2	NKI_71	0.26
AGR2	NKI_71	-0.652
ERBB4	NKI_71	-0.627
TNFRSF21	NKI_71	0.329
PHGDH	NKI_71	0.855
TFF3	NKI_71	-0.951
STS-1	NKI_71	0.618
TCEAL1	NKI_71	-0.47
GABRP	NKI_71	-0.341
FLJ21127	NKI_71	-0.434
BCL2	NKI_71	-0.83
MOAP1	NKI_71	-0.422
ACOT4	NKI_71	-0.737
YBX1	NKI_71	0.227
SOD2	NKI_71	0.18
MREG	NKI_71	-0.418
CDH3	NKI_71	0.276
C10orf38	NKI_71	0.372
RARRES1	NKI_71	0.716
ABTB2	NKI_71	0.307
RERG	NKI_71	-0.599
ST8SIA1	NKI_71	0.119
SIRPA	NKI_71	-0.034
MICALL1	NKI_71	0.221
CDCA7	NKI_71	0.778
ERBB4	NKI_71	-0.264
QSCN6L1	NKI_71	0.579
CYP2B6	NKI_71	-0.729
CIRBP	NKI_71	-0.405
ERBB3	NKI_71	-0.351
CHCHD5	NKI_71	-0.043
LOC124220	NKI_71	-0.792
TMCC2	NKI_71	0.054
DACH1	NKI_71	-0.01
HMGCL	NKI_71	-0.285
NCOA7	NKI_71	0.283
FSCN1	NKI_71	0.48
KCNN4	NKI_71	0.759
CPEB2	NKI_71	-0.17
CYP2B6	NKI_71	-0.706
AKR7A3	NKI_71	-0.497
FLJ20273	NKI_71	-0.065
JMJD2B	NKI_71	-0.212
CDK2AP1	NKI_71	0.147
HEXIM1	NKI_71	-0.292
SH2D2A	NKI_71	-0.001
IFNAR2	NKI_71	0.217
ASNS	NKI_71	0.036
MLZE	NKI_71	-0.013
SKP1A	NKI_71	-0.337
MYO5C	NKI_71	-0.444
APOBEC3B	NKI_71	0.069
LRBA	NKI_71	-0.326
UBXD3	NKI_71	-0.11
DSC2	NKI_71	0.036
TEGT	NKI_71	-0.404
EML4	NKI_71	0.298
KARCA1	NKI_71	-0.298
GATA3	NKI_72	0.054
CA12	NKI_72	-0.325
THSD4	NKI_72	0.485
AFF3	NKI_72	0.377
TBC1D9	NKI_72	-0.13
FOXA1	NKI_72	0.127
GREB1	NKI_72	0.226
DNALI1	NKI_72	-0.012
VGLL1	NKI_72	-0.472
PRR15	NKI_72	-0.301
SLC7A2	NKI_72	-0.107
XBP1	NKI_72	-0.047
SCUBE2	NKI_72	-0.122
MYB	NKI_72	0.121
B3GNT5	NKI_72	-0.057
CELSR1	NKI_72	0.046
NAT1	NKI_72	-0.361
MAGED2	NKI_72	0.548
VAV3	NKI_72	0.368
FBP1	NKI_72	-0.139
BCL11A	NKI_72	-0.202
SOD2	NKI_72	-0.402
AGR2	NKI_72	0.244
ERBB4	NKI_72	-0.038
TNFRSF21	NKI_72	-0.182
PHGDH	NKI_72	-0.331
TFF3	NKI_72	0.556
STS-1	NKI_72	-0.136
TCEAL1	NKI_72	-0.106
GABRP	NKI_72	-0.243
FLJ21127	NKI_72	-0.109
BCL2	NKI_72	0.168
MOAP1	NKI_72	0.114
ACOT4	NKI_72	-0.074
YBX1	NKI_72	-0.154
SOD2	NKI_72	-0.36
MREG	NKI_72	-0.214
CDH3	NKI_72	-0.362
C10orf38	NKI_72	-0.032
RARRES1	NKI_72	-0.425
ABTB2	NKI_72	-0.145
RERG	NKI_72	0.202
ST8SIA1	NKI_72	-0.314
SIRPA	NKI_72	-0.112
MICALL1	NKI_72	-0.197
CDCA7	NKI_72	-0.222
ERBB4	NKI_72	-0.146
QSCN6L1	NKI_72	-0.17
CYP2B6	NKI_72	-1.028
CIRBP	NKI_72	0.107
ERBB3	NKI_72	0.116
CHCHD5	NKI_72	0.094
LOC124220	NKI_72	-0.364
TMCC2	NKI_72	-0.06
DACH1	NKI_72	0.443
HMGCL	NKI_72	0.189
NCOA7	NKI_72	0.155
FSCN1	NKI_72	-0.006
KCNN4	NKI_72	-0.448
CPEB2	NKI_72	0.131
CYP2B6	NKI_72	-0.786
AKR7A3	NKI_72	-0.186
FLJ20273	NKI_72	0.23
JMJD2B	NKI_72	0.12
CDK2AP1	NKI_72	-0.111
HEXIM1	NKI_72	-0.065
SH2D2A	NKI_72	-0.385
IFNAR2	NKI_72	0.025
ASNS	NKI_72	-0.334
MLZE	NKI_72	-0.141
SKP1A	NKI_72	-0.034
MYO5C	NKI_72	-0.147
APOBEC3B	NKI_72	-0.034
LRBA	NKI_72	0.238
UBXD3	NKI_72	-0.33
DSC2	NKI_72	-0.137
TEGT	NKI_72	0.094
EML4	NKI_72	-0.208
KARCA1	NKI_72	-0.077
GATA3	NKI_73	-0.347
CA12	NKI_73	-0.274
THSD4	NKI_73	-0.058
AFF3	NKI_73	-0.732
TBC1D9	NKI_73	-0.948
FOXA1	NKI_73	-1.652
GREB1	NKI_73	-0.809
DNALI1	NKI_73	-0.88
VGLL1	NKI_73	-0.418
PRR15	NKI_73	-1.311
SLC7A2	NKI_73	-0.746
XBP1	NKI_73	-0.998
SCUBE2	NKI_73	-0.86
MYB	NKI_73	-0.962
B3GNT5	NKI_73	0.255
CELSR1	NKI_73	-0.449
NAT1	NKI_73	-0.809
MAGED2	NKI_73	-0.547
VAV3	NKI_73	-0.152
FBP1	NKI_73	-0.718
BCL11A	NKI_73	0.65
SOD2	NKI_73	-0.308
AGR2	NKI_73	-1.271
ERBB4	NKI_73	-0.577
TNFRSF21	NKI_73	-0.018
PHGDH	NKI_73	0.155
TFF3	NKI_73	-1.131
